Match No.,Match Date,Venue,1st Team,2nd Team,Stage,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Match_Id
45th,2024-06-21,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",South Africa,England,Group 2,England,Fielding,163,6,156.0,6.0,South Africa,Normal Match,Runs,7.0,Quinton de Kock,65.0,Jofra Archer,3.0,40.0,Quinton de Kock,T20I # 2712
46th,2024-06-21,"Kensington Oval, Bridgetown, Barbados",United States of America,West Indies,Group 2,West Indies,Fielding,128,10,130.0,1.0,West Indies,Normal Match,Wickets,9.0,Shai Hope,82.0,Roston Chase,3.0,19.0,Roston Chase,T20I # 2713
47th,2024-06-22,"Sir Vivian Richards Stadium, North Sound, Antigua",India,Bangladesh,Group 1,Bangladesh,Fielding,196,5,146.0,8.0,India,Normal Match,Runs,50.0,Hardik Pandya,50.0,Kuldeep Yadav,3.0,19.0,Hardik Pandya,T20I # 2716
48th,2024-06-22,"Arnos Vale Ground, Kingstown, St Vincent",Afghanistan,Australia,Group 1,Australia,Fielding,148,6,127.0,10.0,Afghanistan,Normal Match,Runs,21.0,Rahmanullah Gurbaz,60.0,Gulbadin Naib,4.0,20.0,Gulbadin Naib,T20I # 2717
49th,2024-06-23,"Kensington Oval, Bridgetown, Barbados",United States of America,England,Group 2,England,Fielding,115,10,117.0,0.0,England,Normal Match,Wickets,10.0,Jos Buttler,83.0,Adil Rashid,2.0,13.0,Adil Rashid,T20I # 2719
50th,2024-06-23,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,South Africa,Group 2,South Africa,Fielding,135,8,124.0,7.0,South Africa,DLS,Wickets,3.0,Roston Chase,52.0,Tabraiz Shamsi,3.0,27.0,Tabraiz Shamsi,T20I # 2720
51th,2024-06-24,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",India,Australia,Group 1,Australia,Fielding,205,5,181.0,7.0,India,Normal Match,Runs,24.0,Rohit Sharma,92.0,Arshdeep Singh,3.0,37.0,Rohit Sharma,T20I # 2721
52th,2024-06-24,"Arnos Vale Ground, Kingstown, St Vincent",Afghanistan,Bangladesh,Group 1,Afghanistan,Batting,115,5,105.0,10.0,Afghanistan,DLS,Runs,8.0,Litton Das,54.0,Rashid Khan,4.0,23.0,Naveen-ul-Haq,T20I # 2722
53th,2024-06-26,"Brian Lara Stadium, Tarouba, Trinidad",Afghanistan,South Africa,1st Semi-Final,Afghanistan,Batting,56,10,60.0,1.0,South Africa,Normal Match,Wickets,9.0,Reeza Hendricks,29.0,Marco Jansen,3.0,16.0,Marco Jansen,T20I # 2723
54th,2024-06-27,"Providence Stadium, Guyana",India,England,2nd Semi-Final,England,Fielding,141,7,103.0,10.0,India,Normal Match,Runs,68.0,Rohit Sharma,57.0,Axar Patel,3.0,23.0,Axar Patel,T20I # 2724
55th,2024-06-29,"Kensington Oval, Bridgetown, Barbados",India,South Africa,Final,India,Batting,176,7,169.0,8.0,India,Normal Match,Runs,7.0,Virat Kohli,76.0,Hardik Pandya,3.0,20.0,Virat Kohli,T20I # 2729
